Fecha,Región,Cliente,Producto,Categoría,Cantidad,Precio_Unitario,Venta_Total
2025-10-09,Neiva,Cliente_26,Granizado Waza Waza,Bebidas,7,16900.0,118300.0
2025-06-12,Cali,Cliente_3,Malteada Boom,Bebidas,8,14000.0,112000.0
2025-09-05,Cali,Cliente_7,Brownie Helado,Postres,7,11700.0,81900.0
2025-09-26,Medellín,Cliente_5,Cupcake Tropical,Postres,7,5900.0,41300.0
2025-07-10,Bogotá,Cliente_24,Galleta Waza,Snacks,8,10000.0,80000.0
2025-11-04,Barranquilla,Cliente_14,Galleta Waza,Snacks,8,15600.0,124800.0
2025-10-13,Bogotá,Cliente_5,Café Frío,Bebidas,6,5800.0,34800.0
2025-10-10,Neiva,Cliente_28,Cupcake Tropical,Postres,8,17500.0,140000.0
2025-10-13,Bogotá,Cliente_26,Polvo Roza,Bebidas,6,5000.0,30000.0
2025-08-14,Neiva,Cliente_13,Café Frío,Bebidas,5,14300.0,71500.0
2025-08-14,Medellín,Cliente_17,Café Frío,Bebidas,6,5100.0,30600.0
2025-08-17,Neiva,Cliente_22,Galleta Waza,Snacks,9,9400.0,84600.0
2025-06-24,Barranquilla,Cliente_25,Polvo Roza,Bebidas,3,10700.0,32100.0
2025-11-03,Cali,Cliente_4,Galleta Waza,Snacks,4,13900.0,55600.0
2025-07-26,Bogotá,Cliente_15,Galleta Waza,Snacks,3,17900.0,53700.0
2025-08-17,Cali,Cliente_17,Granizado Waza Waza,Bebidas,7,7600.0,53200.0
2025-10-28,Neiva,Cliente_28,Arequipe Shot,Postres,7,5200.0,36400.0
2025-11-07,Barranquilla,Cliente_20,Galleta Waza,Snacks,9,19500.0,175500.0
2025-10-13,Cali,Cliente_25,Brownie Helado,Postres,2,10800.0,21600.0
2025-06-06,Barranquilla,Cliente_30,Arequipe Shot,Postres,5,8500.0,42500.0
2025-08-14,Cali,Cliente_16,Granizado Waza Waza,Bebidas,7,14100.0,98700.0
2025-05-19,Cali,Cliente_29,Granizado Waza Waza,Bebidas,8,5500.0,44000.0
2025-07-22,Neiva,Cliente_8,Galleta Waza,Snacks,1,8900.0,8900.0
2025-06-03,Medellín,Cliente_27,Polvo Roza,Bebidas,8,16300.0,130400.0
2025-07-07,Barranquilla,Cliente_25,Polvo Roza,Bebidas,6,8100.0,48600.0
2025-07-06,Medellín,Cliente_18,Arequipe Shot,Postres,4,7800.0,31200.0
2025-11-06,Barranquilla,Cliente_28,Arequipe Shot,Postres,2,16600.0,33200.0
2025-07-07,Barranquilla,Cliente_25,Café Frío,Bebidas,2,10900.0,21800.0
2025-09-07,Cali,Cliente_13,Brownie Helado,Postres,4,14000.0,56000.0
2025-10-19,Barranquilla,Cliente_15,Malteada Boom,Bebidas,8,13600.0,108800.0
2025-05-13,Bogotá,Cliente_3,Polvo Roza,Bebidas,9,19400.0,174600.0
2025-05-18,Barranquilla,Cliente_18,Malteada Boom,Bebidas,5,10800.0,54000.0
2025-06-22,Bogotá,Cliente_1,Brownie Helado,Postres,2,13100.0,26200.0
2025-06-22,Neiva,Cliente_8,Polvo Roza,Bebidas,8,10400.0,83200.0
2025-07-13,Cali,Cliente_3,Polvo Roza,Bebidas,9,9400.0,84600.0
2025-08-07,Medellín,Cliente_7,Brownie Helado,Postres,1,5200.0,5200.0
2025-08-17,Barranquilla,Cliente_19,Arequipe Shot,Postres,9,16600.0,149400.0
2025-05-13,Medellín,Cliente_26,Cupcake Tropical,Postres,8,5100.0,40800.0
2025-11-07,Neiva,Cliente_4,Café Frío,Bebidas,3,15600.0,46800.0
2025-08-08,Medellín,Cliente_14,Café Frío,Bebidas,3,16900.0,50700.0
